date,open_price,high_price,low_price,close_price,volume,market_cap
2017-11-08T00:00:00,615.24,646.38,565.6,622.46,837646000.0,10317500000.0
2017-11-07T00:00:00,602.68,626.21,602.45,616.3,375367000.0,10105200000.0
2017-11-06T00:00:00,630.31,657.34,602.65,602.65,794105000.0,10566600000.0
2017-11-05T00:00:00,619.91,635.72,579.13,630.7,816028000.0,10390900000.0
2017-11-04T00:00:00,635.35,642.05,571.12,620.45,1161370000.0,10647200000.0
2017-11-03T00:00:00,587.32,684.53,577.86,625.32,1682210000.0,9839760000.0
2017-11-02T00:00:00,527.68,610.39,514.52,587.22,1632060000.0,8840010000.0
2017-11-01T00:00:00,438.3,538.26,437.91,531.83,1152230000.0,7342250000.0
2017-10-31T00:00:00,449.37,454.07,431.76,439.05,343799000.0,7527260000.0
2017-10-30T00:00:00,458.45,478.42,417.62,448.23,796409000.0,7679000000.0
2017-10-29T00:00:00,420.47,526.12,408.4,451.92,2002440000.0,7042260000.0
2017-10-28T00:00:00,369.54,425.44,369.06,423.35,781037000.0,6183520000.0
2017-10-27T00:00:00,338.3,372.81,338.24,367.57,501989000.0,5655870000.0
2017-10-26T00:00:00,332.11,350.94,331.21,338.2,234967000.0,5550700000.0
2017-10-25T00:00:00,326.59,334.38,320.38,332.13,151935000.0,5457720000.0
2017-10-24T00:00:00,315.9,340.45,311.48,326.89,267442000.0,5278410000.0
2017-10-23T00:00:00,330.67,332.28,309.87,315.6,191558000.0,5524790000.0
2017-10-22T00:00:00,323.5,355.52,323.5,331.66,355546000.0,5405020000.0
2017-10-21T00:00:00,326.75,328.45,317.46,323.36,129938000.0,5458980000.0
2017-10-20T00:00:00,330.9,332.98,323.08,327.44,160204000.0,5527860000.0
2017-10-19T00:00:00,339.27,339.27,326.27,330.81,195578000.0,5667070000.0
2017-10-18T00:00:00,373.65,376.18,313.77,339.17,477184000.0,6240990000.0
2017-10-17T00:00:00,313.7,394.96,309.64,371.73,1008160000.0,5239520000.0
2017-10-16T00:00:00,315.26,318.02,310.52,313.64,117797000.0,5265400000.0
2017-10-15T00:00:00,322.42,323.59,307.68,314.95,133385000.0,5384760000.0
2017-10-14T00:00:00,321.54,327.42,317.35,321.96,164137000.0,5369720000.0
2017-10-13T00:00:00,314.15,323.08,304.38,321.46,288210000.0,5242630000.0
2017-10-12T00:00:00,315.47,330.13,310.71,313.21,262066000.0,5262390000.0
2017-10-11T00:00:00,320.2,321.26,312.13,314.9,131577000.0,5341000000.0
2017-10-10T00:00:00,313.22,352.02,311.7,321.59,367809000.0,5224170000.0
2017-10-09T00:00:00,342.76,342.76,289.04,314.16,288075000.0,5716320000.0
2017-10-08T00:00:00,360.09,362.46,337.0,342.21,203754000.0,6004940000.0
2017-10-07T00:00:00,363.6,364.88,356.06,360.78,91004000.0,6062860000.0
2017-10-06T00:00:00,355.44,371.28,354.96,363.01,182031000.0,5926540000.0
2017-10-05T00:00:00,358.42,371.19,348.45,355.75,268341000.0,5971260000.0
2017-10-04T00:00:00,404.2,404.45,354.55,358.45,251584000.0,6729640000.0
2017-10-03T00:00:00,421.79,421.79,395.74,404.18,130247000.0,7022370000.0
2017-10-02T00:00:00,415.87,430.86,411.84,421.19,219590000.0,6921580000.0
2017-10-01T00:00:00,433.38,436.94,415.15,415.15,164290000.0,7207770000.0
2017-09-30T00:00:00,436.64,445.62,432.53,432.63,150565000.0,7258880000.0
2017-09-29T00:00:00,447.66,447.92,426.99,436.77,148725000.0,7441960000.0
2017-09-28T00:00:00,456.71,465.2,433.5,447.81,300421000.0,7592000000.0
2017-09-27T00:00:00,441.86,460.0,439.41,457.31,197885000.0,7343490000.0
2017-09-26T00:00:00,445.36,458.25,441.83,441.83,165303000.0,7400020000.0
2017-09-25T00:00:00,419.65,450.13,419.65,445.8,302272000.0,6971280000.0
2017-09-24T00:00:00,428.8,433.04,419.25,421.03,114527000.0,7121950000.0
2017-09-23T00:00:00,415.31,432.96,407.45,428.5,189127000.0,6895970000.0
2017-09-22T00:00:00,417.92,435.44,402.77,415.09,241905000.0,6937170000.0
2017-09-21T00:00:00,475.83,480.0,413.75,416.26,316731000.0,7898300000.0
2017-09-20T00:00:00,526.74,527.72,471.09,476.05,669264000.0,8741670000.0
2017-09-19T00:00:00,480.64,550.41,450.05,527.88,802321000.0,7975010000.0
2017-09-18T00:00:00,422.09,479.69,422.09,479.32,458550000.0,7001640000.0
2017-09-17T00:00:00,438.9,438.9,384.06,419.86,221828000.0,7279520000.0
2017-09-16T00:00:00,424.49,450.98,388.2,440.22,313583000.0,7039590000.0
2017-09-15T00:00:00,369.49,448.39,301.69,424.02,707231000.0,6126800000.0
2017-09-14T00:00:00,504.22,510.47,367.04,367.04,257431000.0,8359650000.0
2017-09-13T00:00:00,509.47,519.2,471.22,503.61,340344000.0,8445540000.0
2017-09-12T00:00:00,539.03,559.22,505.01,510.41,273825000.0,8934220000.0
2017-09-11T00:00:00,537.19,556.25,515.67,537.81,274712000.0,8902570000.0
2017-09-10T00:00:00,546.48,546.75,484.09,537.07,289508000.0,9055430000.0
2017-09-09T00:00:00,584.73,586.18,539.15,547.47,234578000.0,9688150000.0
2017-09-08T00:00:00,654.37,687.3,557.5,583.1,809763000.0,10840500000.0
2017-09-07T00:00:00,636.85,707.98,603.5,652.86,1082380000.0,10548500000.0
2017-09-06T00:00:00,541.28,642.69,539.96,638.18,693240000.0,8964700000.0
2017-09-05T00:00:00,514.9,550.95,458.78,541.71,338978000.0,8527100000.0
2017-09-04T00:00:00,608.26,608.26,500.75,517.24,328957000.0,10072200000.0
2017-09-03T00:00:00,578.27,617.41,563.59,607.43,344862000.0,9574520000.0
2017-09-02T00:00:00,621.96,642.05,560.58,575.9,350478000.0,10297000000.0
2017-09-01T00:00:00,588.4,645.52,586.73,622.17,393839000.0,9740460000.0
2017-08-31T00:00:00,576.25,603.69,572.14,588.17,298144000.0,9538750000.0
2017-08-30T00:00:00,549.32,604.69,535.92,575.21,443856000.0,9092300000.0
2017-08-29T00:00:00,596.13,599.3,528.32,552.93,370017000.0,9866110000.0
2017-08-28T00:00:00,619.7,626.88,595.52,596.18,216273000.0,10254800000.0
2017-08-27T00:00:00,625.89,654.87,589.63,620.9,402718000.0,10357000000.0
2017-08-26T00:00:00,641.88,646.93,622.36,625.32,193414000.0,10616100000.0
2017-08-25T00:00:00,627.06,665.41,624.3,641.05,348632000.0,10365600000.0
2017-08-24T00:00:00,670.03,697.32,617.31,628.11,407177000.0,11071100000.0
2017-08-23T00:00:00,690.96,715.67,651.32,669.4,501983000.0,11416800000.0
2017-08-22T00:00:00,596.19,734.88,570.27,690.88,1393260000.0,9844620000.0
2017-08-21T00:00:00,723.7,756.59,573.47,599.63,1123400000.0,11943100000.0
2017-08-20T00:00:00,772.42,858.96,683.94,712.87,1494020000.0,12742600000.0
2017-08-19T00:00:00,697.04,1091.97,625.16,754.56,3196230000.0,11498100000.0
2017-08-18T00:00:00,458.67,764.07,458.67,690.24,3087490000.0,7565590000.0
2017-08-17T00:00:00,301.02,460.53,293.1,460.53,744605000.0,4964980000.0
2017-08-16T00:00:00,297.97,307.62,290.21,300.21,106436000.0,4914350000.0
2017-08-15T00:00:00,298.19,306.52,292.88,297.86,133924000.0,4917480000.0
2017-08-14T00:00:00,296.1,327.39,293.5,297.68,174968000.0,4882720000.0
2017-08-13T00:00:00,316.29,317.47,298.05,298.05,120722000.0,5215330000.0
2017-08-12T00:00:00,327.82,341.85,313.7,317.09,126007000.0,5405200000.0
2017-08-11T00:00:00,275.88,351.16,275.02,328.24,233971000.0,4548600000.0
2017-08-10T00:00:00,305.21,311.68,274.68,275.95,136637000.0,5031790000.0
2017-08-09T00:00:00,345.28,349.32,298.61,303.89,165032000.0,5691960000.0
2017-08-08T00:00:00,321.35,386.29,309.61,345.49,274880000.0,5297390000.0
2017-08-07T00:00:00,223.76,373.87,223.76,319.69,346546000.0,3688360000.0
2017-08-06T00:00:00,212.18,223.7,203.44,220.66,107606000.0,3497290000.0
2017-08-05T00:00:00,231.11,273.04,200.98,213.15,144043000.0,3809330000.0
2017-08-04T00:00:00,362.18,386.93,233.05,233.05,185038000.0,5969720000.0
2017-08-03T00:00:00,448.49,519.28,364.05,364.05,161518000.0,7392030000.0
2017-08-02T00:00:00,382.38,756.93,309.33,452.66,416207000.0,6302360000.0
2017-08-01T00:00:00,294.6,426.11,210.38,380.01,65988800.0,
2017-07-31T00:00:00,346.36,347.82,266.19,294.46,1075960.0,
2017-07-30T00:00:00,385.14,385.14,316.25,345.66,606695.0,
2017-07-29T00:00:00,410.56,423.73,323.73,384.77,737815.0,
2017-07-28T00:00:00,386.65,465.18,217.06,406.05,1230160.0,
2017-07-27T00:00:00,417.1,460.97,367.78,385.48,533207.0,
2017-07-26T00:00:00,407.08,486.16,321.79,365.82,1784640.0,
2017-07-25T00:00:00,441.35,541.66,338.09,406.9,524908.0,
2017-07-24T00:00:00,412.58,578.89,409.21,440.7,190952.0,
2017-07-23T00:00:00,555.89,578.97,411.78,413.06,85013.0,
