Date,Number of requests
2018-02-05,4169
2018-02-06,3664
2018-02-07,3663
2018-02-08,3490
2018-02-09,3377
2018-02-10,4438
2018-02-11,4617
2018-02-12,4093
2018-02-13,4723
2018-02-14,4758
2018-02-15,4435
2018-02-16,3655
2018-02-17,3984
2018-02-18,3903
2018-02-19,3373
2018-02-20,3779
2018-02-21,4205
2018-02-22,3917
2018-02-23,3681
2018-02-24,8166
2018-02-25,4419
2018-02-26,5589
2018-02-27,3914
2018-02-28,3162
2018-03-01,2927
2018-03-02,2861
2018-03-03,4122
2018-03-04,3892
2018-03-05,4171
2018-03-06,3498
2018-03-07,3475